center,area,height,fwhm,sample,source
1084.1654316495562,12.2173655016081,0.24033367833783684,38.2087531891906,E40_c,original
1638.238373491254,9.074885765275983,0.19115060684334562,35.68333348212305,E40_c,original
3076.0263683119397,11.546153352127838,0.191234507364045,45.380679344094055,E40_c,original
660.5974577804693,2.3079833060408634,0.04443763894521628,39.03746610609218,E10_a,original
1085.09793807314,18.46901364549613,0.3760236071011542,36.91718041567074,E10_a,original
1278.9493510758984,20.29458852027301,0.14118896562060504,108.03871914321945,E10_a,original
1473.2226193244694,1.8840526026979134,0.06485177740352338,21.83589884366394,E10_a,original
1645.3616304182979,12.188333195182045,0.1615082402212624,56.72174276248354,E10_a,original
3084.332613442281,14.817430029249996,0.2901653589437201,38.38196937964908,E10_a,original
1082.497774169826,16.658195196254614,0.2615542973060102,47.87028574762445,E70_c,original
1643.183900351219,11.82100112065698,0.1751772231231633,50.71968571671531,E70_c,original
3084.6891877864537,9.90447290983961,0.1934999894498657,38.47249534581543,E70_c,original
655.6950904120858,6.141496861674183,0.06296922690293362,73.30706059988907,EM4_a,original
1087.3991978359932,20.29155806418568,0.20409588817951618,74.72760661188974,EM4_a,original
1237.0000000009577,12.536580903206286,0.21462903737045852,43.902632565692045,EM4_a,original
1289.353089560158,8.035909527677637,0.1109254115665372,54.450757116695996,EM4_a,original
1469.9260569784926,1.832651012654682,0.034253992247955625,40.213188446474916,EM4_a,original
1642.9947031105498,13.755293919384226,0.19990893864929274,51.71750847317287,EM4_a,original
2883.6256921264667,1.2186056445887012,0.01675791408792851,54.656668790417555,EM4_a,original
2988.0999999998457,7.2320089225508255,0.13807499789817518,39.36804432322688,EM4_a,original
3034.3999999951743,13.626430894346628,0.18025515144324197,56.81910204279077,EM4_a,original
3078.6325205798,18.110549526267796,0.27290891519954796,49.878552105302305,EM4_a,original
655.3000000142463,4.552761921858729,0.06252116974041094,54.73281414398829,EM1_a,original
1086.3723568939522,14.303862330413779,0.3030181727165818,35.480079115773215,EM1_a,original
1246.7302154431675,8.524701765277518,0.13374204817974109,47.908343785625675,EM1_a,original
1288.615006973554,8.98647490893795,0.1226054677952057,55.090848371736655,EM1_a,original
1468.5272082367358,2.7201960113687353,0.04998282458812416,40.90527695721204,EM1_a,original
1641.4986040752276,12.590451871114723,0.19014928786450136,49.767582715860414,EM1_a,original
2872.4105948840956,1.1317118778033373,0.0211800474942849,40.16140312084034,EM1_a,original
3033.6306407820857,14.626961385520376,0.21639432206120807,50.80520249405298,EM1_a,original
3076.561431269083,17.148418496656777,0.2888892408099502,44.616206243367245,EM1_a,original
655.3000000117221,5.821151411026191,0.06722313968138066,65.0863678145719,EM2_a,original
1086.2024031083256,13.79908725773887,0.2918085136453343,35.542857093256146,EM2_a,original
1241.936144762174,9.826371510743243,0.1521998259986518,48.52649866388821,EM2_a,original
1288.8860954322527,8.589316152707468,0.11790110625255373,54.757125470401846,EM2_a,original
1468.2898419652788,2.3314732627935184,0.0442711910549366,39.58304190493945,EM2_a,original
1642.2679964729118,12.742981942199467,0.186537773325228,51.34571576140219,EM2_a,original
2875.528925018,1.1294813674346305,0.019584514789189638,43.34771283715174,EM2_a,original
3034.2118573665193,14.221617715723333,0.20393615111668026,52.414894353934464,EM2_a,original
3077.03604284718,17.306600609036792,0.28834642194364746,45.11252520675351,EM2_a,original
1089.800000023854,10.831749509206002,0.265323785350443,30.68473354697622,EM3_c,original
1240.8657894535409,9.85651453456167,0.17261376286609206,42.91883053389971,EM3_c,original
1638.445910765442,10.451088690705125,0.20322222443243604,38.65362824956216,EM3_c,original
3078.320445311709,11.066073105748163,0.23081698462160827,36.035097778365014,EM3_c,original
1091.3953447304202,6.696271117739115,0.16790841949720453,29.97508948688816,E20_c,original
658.7631023676977,6.016343017162652,0.07306742273295941,61.88832564594415,EM3_b,original
1087.3999999740417,12.05223173854574,0.2739608400808439,33.06579107527291,EM3_b,original
1240.663894236904,11.65846046017466,0.18292123352968606,47.90457766804488,EM3_b,original
1291.7767182920677,10.0171429948839,0.11961405098788633,62.94505355905796,EM3_b,original
1471.094411422145,2.285924187930182,0.04219693416072888,40.717476819019225,EM3_b,original
1644.6597313671919,13.09424803032696,0.19470947329082805,50.54677060428171,EM3_b,original
2885.0999996261453,1.6560537049121358,0.020407281455864373,60.994292109075914,EM3_b,original
2995.477742055329,10.202617891632112,0.1126772853135171,68.05737271413668,EM3_b,original
3034.3999999961165,12.959767711376559,0.18746387485750873,51.961246492929305,EM3_b,original
3080.337917521518,17.18319916788294,0.27366080023953165,47.19449728602373,EM3_b,original
658.4912614057413,8.542549177801252,0.06457266028375963,99.43487718107134,EM6_a,original
1085.8267224586175,7.628664795282129,0.15811255218274875,36.26453527577046,EM6_a,original
1234.2876764436135,15.474269990383558,0.2845190786109161,40.87885373139982,EM6_a,original
1471.183899229982,0.7823059611191925,0.017664459067353335,33.28712062636218,EM6_a,original
1644.769428712092,13.788828885063458,0.19908220080933864,52.05888738616439,EM6_a,original
2986.9409428699305,9.021118221964809,0.19785114261649428,34.2706028853838,EM6_a,original
3043.599999999814,20.41138457949445,0.1432382975195591,107.10586377367113,EM6_a,original
3082.7067710290285,18.184355533633564,0.2594550217435883,52.678786986755696,EM6_a,original
1087.3328557222765,9.079519302334502,0.1906938494807844,35.7870667558423,EM5_c,original
1237.8033278529904,13.4190949694401,0.22509422358343023,44.80833527915016,EM5_c,original
1655.6985412749643,5.505971904052503,0.1091840404114352,37.90310271304181,EM5_c,original
3087.975709869626,13.789711353964021,0.239515139256094,43.27351159697516,EM5_c,original
1084.8957867981374,7.826900411637482,0.21420130868709597,27.46424224437741,EM4_c,original
1642.315720830823,7.585401450593103,0.1687364081490961,33.78856154039464,EM4_c,original
3082.6971741756824,9.074217293437506,0.20704228842089104,32.94200649857589,EM4_c,original
651.0264093065483,0.9013985009261785,0.009862061721707964,68.69878373370955,Methanol,original
1237.0000000470495,19.567765365296943,0.39767601313942585,36.983820190236344,Methanol,original
1306.8116136552653,5.631198367344064,0.058822992991968526,71.9537844859557,Methanol,original
1652.523434698478,13.53815272871728,0.16490225809743117,61.70675939130814,Methanol,original
2988.79698109103,12.949895178239744,0.30369332323505127,32.050214622843804,Methanol,original
3092.94564823001,13.541670797267612,0.22087674267182303,46.08103189515725,Methanol,original
656.6622818896157,2.7794591865667284,0.04780236507141211,43.70295972046343,E70_a,original
